Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2023-2024,Indiana Pacers,1,0,-10,3,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.444444444
2023-2024,New York Knicks,0,1,10,-1,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.636363636
2023-2024,Cleveland Cavaliers,0,1,7,1,13,26.2,0.585365854,0.573170732,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,0.75
2023-2024,Cleveland Cavaliers,0,1,9,2,13,26.2,0.585365854,0.573170732,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,0.75
2023-2024,Orlando Magic,0,1,17,3,15,24,0.573170732,0.56097561,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,0.75
2023-2024,Orlando Magic,0,1,17,4,15,24,0.573170732,0.56097561,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,0.75
2023-2024,Golden State Warriors,1,0,-6,5,11,28.4,0.56097561,0.573170732,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,0.6
2023-2024,Sacramento Kings,1,1,25,-1,17,26.4,0.56097561,0.548780488,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,0.8
2023-2024,Los Angeles Clippers,1,1,37,1,7,30.4,0.62195122,0.597560976,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,0.6
2023-2024,Los Angeles Lakers,1,1,11,2,19,28,0.573170732,0.512195122,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,0.6
2023-2024,Detroit Pistons,0,1,6,3,27,23.8,0.170731707,0.243902439,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,0.777777778
2023-2024,Toronto Raptors,0,1,2,4,25,25.9,0.304878049,0.317073171,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,0.9
2023-2024,San Antonio Spurs,1,1,33,5,24,23,0.268292683,0.317073171,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,0.6
2023-2024,Oklahoma City Thunder,1,0,-4,6,2,23.4,0.695121951,0.707317073,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,0.4
2023-2024,Utah Jazz,0,1,29,-1,23,25.1,0.37804878,0.353658537,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,0.8
2023-2024,Indiana Pacers,1,1,17,1,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.444444444
2023-2024,Indiana Pacers,1,0,-2,2,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.444444444
2023-2024,Minnesota Timberwolves,0,1,7,-1,3,27.2,0.682926829,0.695121951,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197,1
2023-2024,Milwaukee Bucks,1,0,-33,1,12,30.2,0.597560976,0.573170732,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,0.333333333
2023-2024,Houston Rockets,0,1,32,-1,18,25.1,0.5,0.536585366,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,0.533,12.2,76,0.219,0.8
2023-2024,Toronto Raptors,1,1,9,1,25,25.9,0.304878049,0.317073171,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,0.777777778
2023-2024,San Antonio Spurs,0,1,19,2,24,23,0.268292683,0.317073171,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,0.8
2023-2024,Denver Nuggets,0,0,-2,3,4,27.1,0.695121951,0.658536585,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,0.8
2023-2024,Houston Rockets,1,1,9,-1,18,25.1,0.5,0.536585366,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,0.533,12.2,76,0.219,0.8
2023-2024,Dallas Mavericks,1,1,9,1,14,26.5,0.609756098,0.56097561,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,0.6
2023-2024,Miami Heat,1,1,33,2,16,28,0.56097561,0.56097561,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,0.875
2023-2024,Los Angeles Clippers,0,0,-19,3,7,30.4,0.62195122,0.597560976,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,0.6
2023-2024,New Orleans Pelicans,0,1,6,-1,6,26,0.597560976,0.634146341,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,0.8
2023-2024,Indiana Pacers,0,1,5,1,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.777777778
2023-2024,Los Angeles Lakers,0,0,-9,2,19,28,0.573170732,0.512195122,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,0.6
2023-2024,Memphis Grizzlies,0,1,40,-1,26,24.4,0.329268293,0.292682927,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,0.8
2023-2024,Atlanta Hawks,0,1,8,1,21,26.2,0.43902439,0.43902439,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,0.666666667
2023-2024,Washington Wizards,0,1,4,2,28,24.9,0.182926829,0.243902439,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,0.888888889
2023-2024,Miami Heat,1,1,4,3,16,28,0.56097561,0.56097561,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,0.875
2023-2024,Brooklyn Nets,1,1,8,4,22,26.1,0.390243902,0.414634146,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,0.8
2023-2024,Brooklyn Nets,0,1,50,5,22,26.1,0.390243902,0.414634146,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,0.666666667
2023-2024,Chicago Bulls,1,1,17,6,20,28.1,0.475609756,0.451219512,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,0.666666667
2023-2024,New York Knicks,1,1,14,7,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.5
2023-2024,Philadelphia 76ers,0,1,18,8,8,28.4,0.573170732,0.597560976,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,0.666666667
2023-2024,Dallas Mavericks,0,1,28,9,14,26.5,0.609756098,0.56097561,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,0.4
2023-2024,Golden State Warriors,0,1,52,10,11,28.4,0.56097561,0.573170732,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,0.6
2023-2024,Cleveland Cavaliers,1,0,-1,11,13,26.2,0.585365854,0.573170732,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,0.222222222
2023-2024,Denver Nuggets,1,0,-6,-1,4,27.1,0.695121951,0.658536585,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,0.6
2023-2024,Phoenix Suns,1,1,10,-2,9,29.3,0.597560976,0.597560976,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,0.6
2023-2024,Portland Trail Blazers,1,1,22,1,29,24.1,0.256097561,0.243902439,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,1
2023-2024,Utah Jazz,1,1,16,2,23,25.1,0.37804878,0.353658537,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,0.4
2023-2024,Phoenix Suns,0,1,15,3,9,29.3,0.597560976,0.597560976,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,0.8
2023-2024,Washington Wizards,1,1,26,4,28,24.9,0.182926829,0.243902439,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,0.666666667
2023-2024,Detroit Pistons,0,1,25,5,27,23.8,0.170731707,0.243902439,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,0.777777778
2023-2024,Milwaukee Bucks,0,1,3,6,12,30.2,0.597560976,0.573170732,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,1
2023-2024,Detroit Pistons,1,1,27,7,27,23.8,0.170731707,0.243902439,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,0.777777778
2023-2024,Chicago Bulls,1,1,11,8,20,28.1,0.475609756,0.451219512,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,0.666666667
2023-2024,Atlanta Hawks,1,0,-2,9,21,26.2,0.43902439,0.43902439,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,0.375
2023-2024,Atlanta Hawks,1,0,-1,-1,21,26.2,0.43902439,0.43902439,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,0.375
2023-2024,New Orleans Pelicans,1,1,12,-2,6,26,0.597560976,0.634146341,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,0.8
2023-2024,Charlotte Hornets,1,1,14,1,30,25.1,0.256097561,0.219512195,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,0.777777778
2023-2024,Oklahoma City Thunder,0,1,35,2,2,23.4,0.695121951,0.707317073,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,0.6
2023-2024,Sacramento Kings,0,1,1,3,17,26.4,0.56097561,0.548780488,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,0.6
2023-2024,Portland Trail Blazers,0,1,17,4,29,24.1,0.256097561,0.243902439,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,0.6
2023-2024,Milwaukee Bucks,1,0,-13,5,12,30.2,0.597560976,0.573170732,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,0.333333333
2023-2024,New York Knicks,0,0,-9,-1,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.636363636
2023-2024,Charlotte Hornets,0,1,33,-2,30,25.1,0.256097561,0.219512195,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,0.857142857
2023-2024,Washington Wizards,0,1,10,1,28,24.9,0.182926829,0.243902439,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,0.888888889
2022-2023,Philadelphia 76ers,0,1,9,0,3,28.2,0.658536585,0.634146341,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,0.541,13,77.2,0.217,0.666666667
2022-2023,Miami Heat,1,1,7,1,21,27.7,0.536585366,0.487804878,-0.32,0.18,-0.13,113,113.3,-0.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,0.875
2022-2023,Orlando Magic,1,1,6,2,24,23.1,0.414634146,0.426829268,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,0.571428571
2022-2023,Chicago Bulls,1,0,-18,3,13,27.5,0.487804878,0.536585366,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,0.666666667
2022-2023,Cleveland Cavaliers,0,0,-9,-1,2,25.4,0.62195122,0.670731707,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,0.75
2022-2023,Washington Wizards,0,1,18,-2,23,26.2,0.426829268,0.463414634,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11,76.1,0.194,0.888888889
2022-2023,Cleveland Cavaliers,1,0,-1,1,2,25.4,0.62195122,0.670731707,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,0.222222222
2022-2023,Chicago Bulls,0,1,4,-1,13,27.5,0.487804878,0.536585366,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,0.625
2022-2023,New York Knicks,1,1,15,1,7,24.5,0.573170732,0.585365854,2.93,0.06,2.99,117.8,114.8,3,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,0.536,11.4,77.1,0.21,0.5
2022-2023,Memphis Grizzlies,1,1,3,2,4,24.4,0.62195122,0.62195122,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,0.526,13.1,75.9,0.206,0.8
2022-2023,Detroit Pistons,0,1,16,3,29,24.1,0.207317073,0.268292683,-8.22,0.49,-7.73,110.7,118.9,-8.2,99,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74,0.231,0.777777778
2022-2023,Denver Nuggets,0,1,19,4,6,26.6,0.646341463,0.597560976,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,0.8
2022-2023,Detroit Pistons,1,1,9,5,29,24.1,0.207317073,0.268292683,-8.22,0.49,-7.73,110.7,118.9,-8.2,99,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74,0.231,0.777777778
2022-2023,Oklahoma City Thunder,0,1,4,6,14,22.8,0.487804878,0.536585366,1.09,-0.12,0.96,115.2,114.2,1,101.1,0.256,0.369,0.57,0.531,11.2,24.7,0.207,0.547,14.4,72.9,0.222,0.6
2022-2023,Atlanta Hawks,1,1,25,7,18,24.9,0.5,0.512195122,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,0.375
2022-2023,New Orleans Pelicans,1,1,8,8,10,25.9,0.512195122,0.56097561,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,0.8
2022-2023,Chicago Bulls,1,0,-14,9,13,27.5,0.487804878,0.536585366,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,0.666666667
2022-2023,Dallas Mavericks,0,1,13,-1,19,27.8,0.463414634,0.5,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0.565,11.4,18,0.225,0.549,11.9,75.5,0.226,0.4
2022-2023,Sacramento Kings,0,1,18,1,8,25.4,0.585365854,0.573170732,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,0.572,12,22.7,0.225,0.563,12.6,77.2,0.203,0.6
2022-2023,Washington Wizards,0,1,9,2,23,26.2,0.426829268,0.463414634,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11,76.1,0.194,0.888888889
2022-2023,Charlotte Hornets,0,1,35,3,27,25.3,0.329268293,0.317073171,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,0.857142857
2022-2023,Miami Heat,0,1,13,4,21,27.7,0.536585366,0.487804878,-0.32,0.18,-0.13,113,113.3,-0.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,0.444444444
2022-2023,Miami Heat,0,0,-4,5,21,27.7,0.536585366,0.487804878,-0.32,0.18,-0.13,113,113.3,-0.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,0.444444444
2022-2023,Brooklyn Nets,1,1,11,-1,15,28,0.548780488,0.524390244,0.85,0.18,1.03,115,114.1,0.9,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,0.8
2022-2023,Toronto Raptors,1,1,6,1,12,25.8,0.5,0.548780488,1.48,0.12,1.59,115.5,114,1.5,97.1,0.257,0.351,0.555,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,0.777777778
2022-2023,Phoenix Suns,1,1,27,2,9,28.1,0.548780488,0.56097561,2.07,0.01,2.08,115.1,113,2.1,98.2,0.241,0.362,0.57,0.535,12,26.6,0.191,0.532,12.9,76,0.234,0.6
2022-2023,Golden State Warriors,1,0,-16,3,11,27.3,0.536585366,0.548780488,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76,0.214,0.6
2022-2023,Los Angeles Clippers,1,0,-20,-1,17,29.7,0.536585366,0.512195122,0.5,-0.19,0.31,115,114.5,0.5,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,0.6
2022-2023,Los Angeles Lakers,1,1,4,-2,16,27.9,0.524390244,0.512195122,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,0.542,12.3,22.8,0.232,0.535,10.9,76.3,0.171,0.6
2022-2023,Orlando Magic,0,0,-8,1,24,23.1,0.414634146,0.426829268,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,0.75
2022-2023,Orlando Magic,0,0,-3,-1,24,23.1,0.414634146,0.426829268,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,0.75
2022-2023,Indiana Pacers,0,0,-5,-2,25,24.5,0.426829268,0.402439024,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,0.545,13,23.4,0.209,0.554,13,72.2,0.229,0.777777778
2022-2023,Minnesota Timberwolves,0,1,12,-3,20,25.8,0.512195122,0.5,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101,0.271,0.381,0.592,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,1
2022-2023,Milwaukee Bucks,0,1,21,1,5,29.8,0.707317073,0.609756098,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,0.555,12.7,25,0.184,0.52,10.4,77.8,0.175,1
2022-2023,Houston Rockets,0,1,24,2,28,22.1,0.268292683,0.280487805,-7.85,0.24,-7.62,111.4,119.3,-7.9,99,0.285,0.359,0.554,0.516,14,30.2,0.215,0.564,11.8,75.8,0.218,0.8
2022-2023,Los Angeles Clippers,0,1,6,3,17,29.7,0.536585366,0.512195122,0.5,-0.19,0.31,115,114.5,0.5,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,0.6
