Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2021-2022,Orlando Magic,1,1,33,4,27,23.3,0.268292683,0.256097561,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,0.571428571
2021-2022,Brooklyn Nets,1,1,35,5,15,29.1,0.536585366,0.524390244,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,0.8
2021-2022,Denver Nuggets,0,1,6,6,11,27.7,0.585365854,0.573170732,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,0.8
2021-2022,Atlanta Hawks,0,1,10,7,14,26.1,0.524390244,0.548780488,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,0.666666667
2021-2022,Philadelphia 76ers,1,1,48,8,9,26.8,0.62195122,0.585365854,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,0.5
2021-2022,Detroit Pistons,0,0,-1,9,26,23.6,0.280487805,0.268292683,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,0.777777778
2021-2022,Brooklyn Nets,1,1,23,-1,15,29.1,0.536585366,0.524390244,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,0.8
2021-2022,Detroit Pistons,1,1,9,1,26,23.6,0.280487805,0.268292683,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,0.777777778
2021-2022,Indiana Pacers,1,0,-21,2,24,26,0.304878049,0.390243902,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,0.444444444
2021-2022,Atlanta Hawks,0,1,9,-1,14,26.1,0.524390244,0.548780488,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,0.666666667
2021-2022,Memphis Grizzlies,0,1,13,1,4,24,0.682926829,0.670731707,5.68,-0.32,5.37,114.6,109,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30,0.18,0.523,13.3,77.8,0.195,0.8
2021-2022,Brooklyn Nets,0,1,6,2,15,29.1,0.536585366,0.524390244,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,0.666666667
2021-2022,Charlotte Hornets,1,1,14,3,16,25.5,0.524390244,0.512195122,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,0.777777778
2021-2022,Detroit Pistons,0,1,11,4,26,23.6,0.280487805,0.268292683,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,0.777777778
2021-2022,Dallas Mavericks,0,0,-3,5,7,26.7,0.634146341,0.609756098,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78,0.185,0.4
2021-2022,Golden State Warriors,1,1,22,-1,5,27.6,0.646341463,0.670731707,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13,78.7,0.201,0.6
2021-2022,Sacramento Kings,1,1,29,1,25,25.8,0.365853659,0.341463415,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,0.8
2021-2022,Denver Nuggets,1,1,20,2,11,27.7,0.585365854,0.573170732,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,0.6
2021-2022,Oklahoma City Thunder,1,1,9,3,28,22.4,0.292682927,0.256097561,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,0.4
2021-2022,Utah Jazz,0,1,28,4,3,29.3,0.597560976,0.682926829,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,0.8
2021-2022,Minnesota Timberwolves,0,1,22,5,10,24.2,0.56097561,0.585365854,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,1
2021-2022,Toronto Raptors,1,0,-3,6,12,24.8,0.585365854,0.573170732,2.29,0.08,2.38,112.9,110.5,2.4,96,0.234,0.375,0.543,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,0.777777778
2021-2022,Miami Heat,0,0,-8,-1,6,28.2,0.646341463,0.646341463,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78,0.209,0.444444444
2021-2022,Indiana Pacers,0,1,5,-2,24,26,0.304878049,0.390243902,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,0.777777778
2021-2022,Washington Wizards,0,1,42,1,23,25.9,0.426829268,0.390243902,-3.38,0.15,-3.23,111.1,114.5,-3.4,97,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,0.888888889
2021-2022,Chicago Bulls,1,1,23,2,20,26.3,0.56097561,0.487804878,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,0.666666667
2021-2022,Milwaukee Bucks,1,0,-6,3,8,28.5,0.62195122,0.597560976,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,0.546,11.9,23,0.199,0.536,11.6,78.6,0.165,0.333333333
2021-2022,Memphis Grizzlies,1,1,29,-1,4,24,0.682926829,0.670731707,5.68,-0.32,5.37,114.6,109,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30,0.18,0.523,13.3,77.8,0.195,0.8
2020-2021,Milwaukee Bucks,0,1,1,0,4,28.1,0.638888889,0.666666667,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,1
2020-2021,Brooklyn Nets,0,0,-28,1,7,28.2,0.666666667,0.638888889,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0.666666667
2020-2021,Indiana Pacers,1,0,-1,-1,17,26.5,0.472222222,0.5,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0.444444444
2020-2021,Indiana Pacers,1,1,5,-2,17,26.5,0.472222222,0.5,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0.444444444
2020-2021,Memphis Grizzlies,0,1,19,1,15,24.2,0.527777778,0.527777778,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,0.8
2020-2021,Detroit Pistons,1,0,-3,2,25,24.5,0.277777778,0.361111111,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,0.777777778
2020-2021,Detroit Pistons,1,1,2,-1,25,24.5,0.277777778,0.361111111,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,0.777777778
2020-2021,Toronto Raptors,1,1,12,1,19,26.6,0.375,0.486111111,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0.777777778
2020-2021,Miami Heat,1,1,2,2,16,27.4,0.555555556,0.5,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.875
2020-2021,Washington Wizards,0,1,9,3,22,26.6,0.472222222,0.444444444,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0.888888889
2020-2021,Orlando Magic,0,1,27,4,29,25.6,0.291666667,0.236111111,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0.75
2020-2021,New York Knicks,0,0,-30,5,10,25.6,0.569444444,0.569444444,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0.636363636
2020-2021,Philadelphia 76ers,1,0,-8,-1,5,27.1,0.680555556,0.666666667,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,0.5
2020-2021,Philadelphia 76ers,1,0,-12,-2,5,27.1,0.680555556,0.666666667,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,0.5
2020-2021,Cleveland Cavaliers,0,1,38,-3,28,24,0.305555556,0.25,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0.75
2020-2021,Chicago Bulls,1,1,16,1,20,25.6,0.430555556,0.472222222,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0.666666667
2020-2021,San Antonio Spurs,1,0,-4,2,21,26.2,0.458333333,0.444444444,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,0.6
2020-2021,Los Angeles Lakers,0,0,-1,-1,8,28.2,0.583333333,0.583333333,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,0.6
2020-2021,Golden State Warriors,1,1,4,-2,14,26.7,0.541666667,0.527777778,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,0.6
2020-2021,Sacramento Kings,1,0,-5,1,24,25.6,0.430555556,0.388888889,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,0.8
2020-2021,Los Angeles Clippers,1,1,4,-1,2,28.8,0.652777778,0.680555556,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,0.6
2020-2021,Phoenix Suns,1,0,-9,1,3,26.6,0.708333333,0.680555556,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,0.6
2020-2021,Utah Jazz,1,0,-14,-1,1,28.5,0.722222222,0.763888889,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,0.4
2020-2021,Toronto Raptors,0,1,14,-2,19,26.6,0.375,0.486111111,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0.9
2020-2021,Detroit Pistons,0,0,-6,1,25,24.5,0.277777778,0.361111111,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,0.777777778
2020-2021,Washington Wizards,1,0,-13,-1,22,26.6,0.472222222,0.444444444,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0.666666667
2020-2021,Denver Nuggets,0,1,13,-2,6,26.1,0.652777778,0.652777778,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,0.8
2020-2021,Atlanta Hawks,0,0,-8,1,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.666666667
2020-2021,Atlanta Hawks,0,1,12,-1,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.666666667
2020-2021,New Orleans Pelicans,1,0,-5,1,18,24.8,0.430555556,0.486111111,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,0.8
2020-2021,Dallas Mavericks,1,0,-3,-1,9,26.3,0.583333333,0.569444444,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,0.6
2020-2021,Atlanta Hawks,1,0,-15,-2,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.375
2020-2021,Indiana Pacers,0,1,6,-3,17,26.5,0.472222222,0.5,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0.777777778
2020-2021,Washington Wizards,0,1,1,1,22,26.6,0.472222222,0.444444444,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0.888888889
2020-2021,Los Angeles Clippers,0,1,5,2,2,28.8,0.652777778,0.680555556,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,0.6
2020-2021,Toronto Raptors,0,1,7,3,19,26.6,0.375,0.486111111,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0.9
2020-2021,Brooklyn Nets,1,0,-12,4,7,28.2,0.666666667,0.638888889,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0.8
2020-2021,Houston Rockets,1,1,27,-1,27,26.5,0.236111111,0.277777778,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,0.8
2020-2021,Utah Jazz,0,0,-8,1,1,28.5,0.722222222,0.763888889,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,0.8
2020-2021,Cleveland Cavaliers,1,0,-7,-1,28,24,0.305555556,0.25,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0.222222222
2020-2021,Sacramento Kings,0,0,-11,-2,24,25.6,0.430555556,0.388888889,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,0.6
2020-2021,Orlando Magic,0,1,16,-3,29,25.6,0.291666667,0.236111111,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0.75
2020-2021,Memphis Grizzlies,1,0,-6,1,15,24.2,0.527777778,0.527777778,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,0.8
2020-2021,Milwaukee Bucks,1,0,-2,-1,4,28.1,0.638888889,0.666666667,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,0.333333333
2020-2021,Milwaukee Bucks,1,1,8,-2,4,28.1,0.638888889,0.666666667,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,0.333333333
2020-2021,Oklahoma City Thunder,1,1,17,1,30,22.8,0.305555556,0.208333333,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0.4
2020-2021,New Orleans Pelicans,0,0,-6,2,18,24.8,0.430555556,0.486111111,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,0.8
2020-2021,Dallas Mavericks,0,0,-5,-1,9,26.3,0.583333333,0.569444444,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,0.4
2020-2021,Houston Rockets,0,1,16,-2,27,26.5,0.236111111,0.277777778,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,0.8
2020-2021,Charlotte Hornets,0,1,30,1,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.857142857
2020-2021,Philadelphia 76ers,0,0,-10,2,5,27.1,0.680555556,0.666666667,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,0.666666667
2020-2021,New York Knicks,0,1,2,-1,10,25.6,0.569444444,0.569444444,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0.636363636
2020-2021,Minnesota Timberwolves,0,1,9,1,26,23.2,0.319444444,0.333333333,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,1
2020-2021,Denver Nuggets,1,1,18,2,6,26.1,0.652777778,0.652777778,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,0.6
2020-2021,Portland Trail Blazers,1,1,1,3,12,27.4,0.583333333,0.555555556,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,1
2020-2021,Los Angeles Lakers,1,1,8,4,8,28.2,0.583333333,0.583333333,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,0.6
2020-2021,Golden State Warriors,0,1,5,5,14,26.7,0.541666667,0.527777778,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,0.6
2020-2021,Chicago Bulls,0,0,-6,6,20,25.6,0.430555556,0.472222222,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0.625
2020-2021,Phoenix Suns,0,1,13,-1,3,26.6,0.708333333,0.680555556,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,0.8
2020-2021,Brooklyn Nets,1,0,-5,1,7,28.2,0.666666667,0.638888889,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0.8
2020-2021,Charlotte Hornets,1,0,-21,-1,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.777777778
2020-2021,Oklahoma City Thunder,0,0,-4,-2,30,22.8,0.305555556,0.208333333,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0.6
2020-2021,Charlotte Hornets,0,1,9,-3,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.857142857
2020-2021,San Antonio Spurs,0,1,3,1,21,26.2,0.458333333,0.444444444,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,0.8
2020-2021,Portland Trail Blazers,0,0,-10,2,12,27.4,0.583333333,0.555555556,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,0.6
2020-2021,Orlando Magic,1,1,36,-1,29,25.6,0.291666667,0.236111111,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0.571428571
2020-2021,Chicago Bulls,1,0,-22,1,20,25.6,0.430555556,0.472222222,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0.666666667
2020-2021,Miami Heat,0,0,-6,-1,16,27.4,0.555555556,0.5,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.444444444
2020-2021,Miami Heat,0,0,-8,-2,16,27.4,0.555555556,0.5,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.444444444
2020-2021,Cleveland Cavaliers,1,0,-8,-3,28,24,0.305555556,0.25,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0.222222222
2020-2021,Minnesota Timberwolves,1,1,16,-4,26,23.2,0.319444444,0.333333333,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,0.6
2020-2021,New York Knicks,1,0,-4,1,10,25.6,0.569444444,0.569444444,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0.5
